
MySQL [localhost ssl/sakila] SQL> select A.first_name , a.last_name,
                               -> c.title from actor a
                               -> inner join film_actor b on
                               -> b.actor_id = a.actor_id
                               -> inner join film c on
                               -> c.film_id = b.film_id;



MySQL [localhost ssl/sakila] SQL> select A.first_name , a.last_name, count(b.fil
m_id) from actor a inner join film_actor b on b.actor_id = a.actor_id  group by
a.actor_id
                               -> ;
+-------------+--------------+------------------+
| first_name  | last_name    | count(b.film_id) |
+-------------+--------------+------------------+
| PENELOPE    | GUINESS      |               19 |
| NICK        | WAHLBERG     |               25 |
| ED          | CHASE        |               22 |
| JENNIFER    | DAVIS        |               22 |
| JOHNNY      | LOLLOBRIGIDA |               29 |
| BETTE       | NICHOLSON    |               20 |
| GRACE       | MOSTEL       |               30 |
| MATTHEW     | JOHANSSON    |               20 |
| JOE         | SWANK        |               25 |
| CHRISTIAN   | GABLE        |               22 |
| ZERO        | CAGE         |               25 |
| KARL        | BERRY        |               31 |
| UMA         | WOOD         |               35 |
| VIVIEN      | BERGEN       |               30 |
| CUBA        | OLIVIER      |               28 |
| FRED        | COSTNER      |               27 |
| HELEN       | VOIGHT       |               32 |
| DAN         | TORN         |               22 |
| BOB         | FAWCETT      |               25 |
| LUCILLE     | TRACY        |               30 |
| KIRSTEN     | PALTROW      |               27 |
| ELVIS       | MARX         |               26 |
| SANDRA      | KILMER       |               37 |
| CAMERON     | STREEP       |               24 |
| KEVIN       | BLOOM        |               21 |
| RIP         | CRAWFORD     |               33 |
| JULIA       | MCQUEEN      |               33 |
| WOODY       | HOFFMAN      |               31 |
| ALEC        | WAYNE        |               29 |
| SANDRA      | PECK         |               19 |
| SISSY       | SOBIESKI     |               18 |
| TIM         | HACKMAN      |               23 |
| MILLA       | PECK         |               24 |
| AUDREY      | OLIVIER      |               25 |
| JUDY        | DEAN         |               15 |
| BURT        | DUKAKIS      |               29 |
| VAL         | BOLGER       |               35 |
| TOM         | MCKELLEN     |               25 |
| GOLDIE      | BRODY        |               28 |
| JOHNNY      | CAGE         |               29 |
| JODIE       | DEGENERES    |               29 |
| TOM         | MIRANDA      |               27 |
| KIRK        | JOVOVICH     |               26 |
| NICK        | STALLONE     |               30 |
| REESE       | KILMER       |               32 |
| PARKER      | GOLDBERG     |               24 |
| JULIA       | BARRYMORE    |               24 |
| FRANCES     | DAY-LEWIS    |               26 |
| ANNE        | CRONYN       |               27 |
| NATALIE     | HOPKINS      |               32 |
| GARY        | PHOENIX      |               25 |
| CARMEN      | HUNT         |               26 |
| MENA        | TEMPLE       |               30 |
| PENELOPE    | PINKETT      |               25 |
| FAY         | KILMER       |               20 |
| DAN         | HARRIS       |               28 |
| JUDE        | CRUISE       |               30 |
| CHRISTIAN   | AKROYD       |               32 |
| DUSTIN      | TAUTOU       |               27 |
| HENRY       | BERRY        |               35 |
| CHRISTIAN   | NEESON       |               25 |
| JAYNE       | NEESON       |               29 |
| CAMERON     | WRAY         |               19 |
| RAY         | JOHANSSON    |               30 |
| ANGELA      | HUDSON       |               34 |
| MARY        | TANDY        |               31 |
| JESSICA     | BAILEY       |               23 |
| RIP         | WINSLET      |               30 |
| KENNETH     | PALTROW      |               21 |
| MICHELLE    | MCCONAUGHEY  |               23 |
| ADAM        | GRANT        |               18 |
| SEAN        | WILLIAMS     |               26 |
| GARY        | PENN         |               26 |
| MILLA       | KEITEL       |               28 |
| BURT        | POSEY        |               24 |
| ANGELINA    | ASTAIRE      |               31 |
| CARY        | MCCONAUGHEY  |               24 |
| GROUCHO     | SINATRA      |               26 |
| MAE         | HOFFMAN      |               28 |
| RALPH       | CRUZ         |               28 |
| SCARLETT    | DAMON        |               36 |
| WOODY       | JOLIE        |               31 |
| BEN         | WILLIS       |               33 |
| JAMES       | PITT         |               31 |
| MINNIE      | ZELLWEGER    |               31 |
| GREG        | CHAPLIN      |               27 |
| SPENCER     | PECK         |               21 |
| KENNETH     | PESCI        |               20 |
| CHARLIZE    | DENCH        |               24 |
| SEAN        | GUINESS      |               33 |
| CHRISTOPHER | BERRY        |               20 |
| KIRSTEN     | AKROYD       |               34 |
| ELLEN       | PRESLEY      |               25 |
